Date,Price,Open,High,Low,Vol.,Change %,Pred,new
2018-05-03,31003,30925,31146,30861,0.21K,0.25%,190.99999999995367,364.31136385729405
2018-05-04,31068,30907,31154,30907,0.13K,0.21%,74.99999999995367,409.2866664509674
2018-05-07,31247,31125,31300,31125,6.16K,0.58%,68.99999999995367,297.68594377510084
2018-05-08,31200,31220,31238,31075,8.69K,-0.15%,521.9999999999536,143.655671761866
2018-05-09,31303,31219,31364,31156,9.93K,0.33%,274.9999999999537,292.98138400308017
2018-05-10,31352,31338,31470,31231,10.73K,0.16%,323.9999999999537,253.92597099036357
2018-05-11,31500,31340,31545,31340,8.84K,0.47%,114.99999999995367,366.0465858328025
2018-05-14,31496,31450,31544,31380,7.90K,-0.01%,277.9999999999537,210.6062460165704
2018-05-15,31186,31425,31499,31172,14.51K,-0.98%,459.9999999999537,88.14686256897039
2018-05-16,31007,31171,31171,30941,10.73K,-0.57%,591.9999999999536,66.49061116318262
2018-05-17,30986,31001,31001,30852,8.54K,-0.07%,565.9999999999536,134.6471541553219
2018-05-18,31093,30971,31115,30950,7.38K,0.35%,183.99999999995367,287.7623586429727
2018-05-21,31114,31035,31139,30925,8.03K,0.07%,493.9999999999537,294.30787388843964
2018-05-22,31111,31025,31173,31005,7.33K,-0.01%,103.99999999995367,254.57435897435792
2018-05-23,31186,31121,31369,31103,11.98K,0.24%,-46.00000000004633,331.7098350641427
2018-05-24,31461,31241,31486,31235,11.06K,0.88%,218.99999999995367,472.8161037297905
2018-05-25,31194,31370,31427,31172,10.05K,-0.85%,382.9999999999537,79.17996920313091
2018-05-28,30971,31150,31150,30885,6.81K,-0.71%,701.9999999999536,86.73789865630533
2018-05-29,31184,31020,31320,31020,12.38K,0.69%,27.999999999953673,465.5860735009665
2018-05-30,31030,31120,31123,30937,9.14K,-0.49%,548.9999999999536,96.55913630927536
2018-05-31,30882,31050,31120,30837,6.07K,-0.48%,445.9999999999537,115.41297791614124
2018-06-01,30568,30796,30839,30458,2.07K,-1.02%,852.9999999999536,154.37599317092463
2018-06-04,30708,30650,30812,30580,0.34K,0.46%,233.99999999995367,290.9710922171362
2018-06-05,30699,30673,30935,30656,0.08K,-0.03%,-142.00000000004633,305.3913426409199
2018-06-06,30755,30876,30913,30720,6.33K,0.18%,344.9999999999537,72.21988932291787
2018-06-07,31055,30820,31075,30789,8.21K,0.98%,338.9999999999537,523.4708824580193
2018-06-08,31076,31011,31196,30950,8.18K,0.07%,188.99999999995367,312.00148626817463
2018-06-11,31035,31070,31083,30920,7.52K,-0.13%,516.9999999999536,128.6062419146183
2018-06-12,30952,31001,31001,30873,6.95K,-0.27%,413.9999999999537,79.32753538690667
2018-06-13,30952,30936,30994,30920,3.91K,0.00%,37.99999999995367,90.07658473480114
2018-06-14,31145,30973,31178,30973,8.59K,0.62%,138.99999999995367,378.13841087398765
2018-06-15,30804,31180,31195,30755,11.17K,-1.09%,932.9999999999536,64.70102422370474
2018-06-18,30773,30799,30836,30721,4.81K,-0.10%,222.99999999995367,89.19465512190433
2018-06-19,30702,30848,30899,30673,7.27K,-0.23%,356.9999999999537,80.21367326312975
2018-06-20,30605,30680,30702,30580,4.93K,-0.32%,227.99999999995367,47.099738391105355
2018-06-21,30451,30575,30575,30367,6.94K,-0.50%,583.9999999999536,84.57536141205857
2018-06-22,30498,30410,30554,30387,6.81K,0.15%,123.99999999995367,255.61003060519212
2018-06-25,30540,30500,30648,30500,4.98K,0.14%,-68.00000000004633,188.1940983606546
2018-06-26,30480,30512,30574,30335,6.41K,-0.20%,581.9999999999536,208.14240975770736
2018-06-27,30606,30466,30631,30435,6.00K,0.41%,238.99999999995367,337.10123213405683
2018-06-28,30431,30588,30604,30408,4.32K,-0.57%,389.9999999999537,39.148250460406416
2018-06-29,30363,30404,30449,30288,5.61K,-0.22%,336.9999999999537,120.39867274168137
2018-07-02,30153,30380,30412,30000,2.26K,-0.69%,1033.9999999999682,187.10120000000092
2018-07-03,30469,30185,30600,30100,0.19K,1.05%,492.9999999999537,790.1295681063132
2018-07-04,30510,30463,30550,30463,0.04K,0.13%,6.999999999953673,134.13422840823114
2018-07-05,30541,30600,30640,30495,0.02K,0.10%,261.9999999999537,86.21872438104765
2018-07-06,30582,30650,30740,30570,4.84K,0.13%,93.99999999995367,102.06673209028305
2018-07-09,30638,30613,30788,30613,7.26K,0.18%,-125.00000000004633,200.142913141477
2018-07-10,30551,30663,30679,30436,7.52K,-0.28%,667.9999999999536,131.91815613089784
2018-07-11,30344,30502,30545,30325,6.02K,-0.68%,348.9999999999537,62.13784006595233
2018-07-12,30175,30315,30315,30161,7.75K,-0.56%,335.9999999999537,14.07148304101429
2018-07-13,30131,30169,30210,30035,7.17K,-0.15%,418.9999999999682,137.55934742799946
2018-07-16,30103,30151,30248,30074,5.56K,-0.09%,114.99999999995367,126.16778612755293
2018-07-17,29757,30102,30120,29740,9.28K,-1.15%,739.9999999999682,35.21721587088177
2018-07-18,29799,29999,29999,29671,7.92K,0.14%,911.9999999999682,129.41498432813023
2018-07-19,29913,29671,29968,29624,8.40K,0.38%,374.9999999999682,589.3559276262495
2018-07-20,29957,29788,29977,29767,7.07K,0.15%,232.99999999996822,380.3404105217196
2018-07-23,29914,29922,30043,29862,7.10K,-0.14%,102.99999999996822,173.31518317594242
2018-07-24,29912,29860,29978,29780,7.69K,-0.01%,305.9999999999682,250.87763599731255
2018-07-25,29959,29867,30035,29835,7.58K,0.16%,143.99999999996822,292.8312384782985
2018-07-26,29836,29912,29952,29816,5.77K,-0.41%,191.99999999996822,60.09122618728361
2018-07-27,29805,29960,29960,29682,7.53K,-0.10%,801.9999999999682,124.15201131999129
2018-07-30,29755,29726,29782,29700,4.90K,-0.17%,105.99999999996822,111.15185185185328
2018-07-31,29638,29730,29740,29561,6.63K,-0.39%,481.9999999999682,87.46625621596105
2018-08-01,29462,29591,29670,29441,2.14K,-0.59%,262.9999999999682,100.16334363642454
2018-08-02,29520,29532,29638,29477,0.92K,0.20%,89.99999999996822,149.23486107813002
2018-08-03,29800,29520,29900,29425,0.11K,0.95%,559.9999999999682,761.0535259133394
2018-08-06,29563,29656,29656,29538,4.02K,-0.80%,285.9999999999682,25.099871352154878
2018-08-07,29534,29604,29668,29520,5.98K,-0.10%,131.99999999996822,78.07018970189529
2018-08-08,29544,29560,29630,29500,6.45K,0.03%,137.99999999996822,114.19389830508592
2018-08-09,29605,29565,29665,29529,5.58K,0.21%,123.99999999996822,176.3500287852621
2018-08-10,29706,29625,29744,29540,7.31K,0.34%,382.9999999999682,286.146377792822
2018-08-13,29665,29750,29836,29644,7.72K,-0.14%,167.99999999996822,107.1360140331926
2018-08-14,29664,29665,29740,29575,4.99K,-0.00%,282.9999999999682,164.49653423499694
2018-08-16,29275,29615,29615,29222,10.27K,-1.31%,891.9999999999682,53.712784888099115
2018-08-17,29275,29291,29375,29184,6.00K,0.00%,311.9999999999682,175.59556606359547
2018-08-20,29435,29388,29459,29350,5.66K,0.55%,174.99999999996822,156.31567291311873
2018-08-21,29542,29460,29565,29436,6.27K,0.36%,154.99999999996822,211.46453322462185
2018-08-22,29627,29450,29733,29450,4.61K,0.29%,70.99999999996822,461.7008828522921
2018-08-23,29576,29666,29666,29490,5.98K,-0.17%,523.9999999999682,86.51325873177484
2018-08-24,29882,29550,29900,29550,9.03K,1.03%,313.9999999999682,685.9323181049076
2018-08-27,29973,29930,30045,29863,6.67K,0.30%,238.99999999996822,225.67039480293167
2018-08-28,29981,30015,30170,29951,6.78K,0.03%,32.999999999968225,185.21935828519784
2018-08-29,30144,29977,30168,29977,6.08K,0.54%,142.99999999996822,359.0640491043123
2018-08-30,30131,30110,30269,30082,6.31K,-0.04%,-5.000000000046327,208.30460075792868
2018-08-31,30116,30224,30298,30055,5.78K,-0.05%,385.9999999999537,135.49319580768497
2018-09-03,30327,30075,30448,30062,1.44K,0.70%,182.99999999995367,641.402634555252
2018-09-04,30221,30238,30300,30154,0.17K,-0.35%,239.99999999995367,129.32440140611652
2018-09-05,30310,30257,30494,30250,0.05K,0.29%,-103.00000000004633,297.483966942149
2018-09-06,30565,30366,30693,30366,14.80K,0.84%,70.99999999995367,528.142955937561
2018-09-07,30509,30643,30643,30405,9.44K,-0.18%,683.9999999999536,104.81407663213396
2018-09-10,30725,30549,30748,30526,11.42K,0.71%,244.99999999995367,399.4472253161257
2018-09-11,30732,30660,30744,30559,11.40K,0.02%,463.9999999999537,258.0473183022986
2018-09-12,30664,30682,30779,30443,15.88K,-0.22%,822.9999999999536,320.4391814210176
2018-09-13,30470,30576,30690,30450,6.63K,-0.63%,177.99999999995367,134.15763546798192
2018-09-14,30453,30501,30648,30401,11.82K,-0.06%,156.99999999995367,199.4224861024304
2018-09-17,30778,30509,30800,30509,13.77K,1.07%,246.99999999995367,562.5657674784488
2018-09-18,30811,30710,30925,30652,11.96K,0.11%,218.99999999995367,375.41612292835634
2018-09-19,30649,30821,30936,30634,13.10K,-0.53%,288.9999999999537,130.14787491023162
2018-09-20,30623,30700,30700,30585,3.97K,-0.08%,305.9999999999537,38.14288049697643
2018-09-21,30609,30731,30910,30455,15.51K,-0.05%,680.9999999999536,335.3007716302745
2018-09-24,30862,30620,30899,30620,10.49K,0.83%,204.99999999995367,523.2050293925531
2018-09-25,30838,30821,30864,30755,7.69K,-0.08%,254.99999999995367,126.29416355064312
2018-09-26,30608,30824,30830,30587,9.12K,-0.75%,509.9999999999537,27.166835583746433
2018-09-27,30356,30738,30738,30321,10.28K,-0.82%,903.9999999999536,35.481349559711816
2018-09-28,30479,30398,30520,30264,8.85K,0.41%,575.9999999999536,338.81866243721737
2018-10-01,30614,30399,30660,30376,2.22K,0.44%,260.9999999999537,501.2251777719249
2018-10-03,31025,30890,31168,30889,0.19K,1.34%,-4.000000000046327,415.2283984589994
2018-10-04,31136,31072,31164,31015,0.04K,0.36%,263.9999999999537,213.5812993712716
2018-10-05,31233,31101,31288,30985,0.07K,0.31%,540.9999999999536,437.42517347103416
2018-10-08,31096,31369,31389,31083,9.96K,-0.44%,577.9999999999536,33.12797992471678
2018-10-09,31161,31200,31275,31115,7.31K,0.21%,186.99999999995367,121.23654186083876
2018-10-10,31247,31235,31265,31151,6.58K,0.28%,329.9999999999537,126.35132098487884
2018-10-11,31793,31300,31815,31250,17.38K,1.75%,670.9999999999536,1067.817439999999
2018-10-12,31670,31699,31720,31574,10.61K,-0.39%,420.9999999999537,117.44390954582924
2018-10-15,31877,31723,32075,31723,14.31K,0.65%,-44.00000000004633,507.7087917284006
2018-10-16,31701,31877,31957,31680,10.71K,-0.55%,355.9999999999537,101.18361742424169
2018-10-17,31702,31670,31839,31635,8.63K,0.00%,34.99999999995367,236.4320531057383
2018-10-18,31885,31670,31909,31638,5.54K,0.58%,318.9999999999537,488.11571527909484
2018-10-19,31737,31805,31867,31703,7.59K,-0.46%,209.99999999995367,96.17588240860641
2018-10-22,31729,31738,31749,31641,6.73K,-0.03%,358.9999999999537,99.30036977339478
2018-10-23,31871,31721,32053,31721,13.47K,0.45%,-32.00000000004633,483.5699378960308
2018-10-24,31723,31820,31844,31585,9.82K,-0.46%,721.9999999999536,163.1316131074891
2018-10-25,31683,31800,31912,31663,9.54K,-0.13%,201.99999999995367,132.15728136942198
2018-10-26,31764,31779,31993,31725,13.31K,0.26%,-28.000000000046327,253.3294562647752
2018-10-29,31730,31847,31847,31692,6.67K,-0.11%,385.9999999999537,38.18585131894361
2018-10-30,31725,31755,31789,31651,5.96K,-0.02%,321.9999999999537,108.32264383431902
2018-10-31,31631,31650,31780,31590,5.67K,-0.30%,71.99999999995367,171.24659702437566
2018-11-01,31783,31671,31818,31619,1.58K,0.48%,284.9999999999537,312.0321642050658
2018-11-02,31737,31737,31999,31530,0.54K,-0.14%,565.9999999999536,472.0790675547105
2018-11-05,31783,31785,31898,31630,0.18K,0.14%,502.9999999999537,267.2963642111936
2018-11-06,31657,31718,31869,31641,9.16K,-0.40%,34.99999999995367,167.11529344837254
2018-11-07,31602,31660,31678,31530,1.80K,-0.17%,385.9999999999537,90.33796384395828
2018-11-08,31408,31551,31551,31234,6.11K,-0.61%,981.9999999999536,175.7659601716077
2018-11-09,31023,31302,31383,30965,10.71K,-1.23%,708.9999999999536,139.78294849023223
2018-11-12,31014,31106,31178,30975,7.77K,-0.03%,267.9999999999537,111.2555932203395
2018-11-13,30778,31110,31110,30756,8.28K,-0.76%,751.9999999999536,22.253218884121452
2018-11-14,30838,30700,30867,30620,7.55K,0.19%,428.9999999999537,386.7585238406282
2018-11-15,30831,30830,30939,30753,8.71K,-0.02%,200.99999999995367,187.47175885279648
2018-11-16,31017,30856,31158,30830,10.10K,0.60%,123.99999999995367,490.9894907557573
2018-11-19,30888,31068,31068,30785,8.15K,-0.42%,771.9999999999536,103.94685723566728
2018-11-20,30830,30811,30994,30800,8.35K,-0.19%,-101.00000000004633,213.1889610389626
2018-11-21,30839,30800,30910,30750,7.74K,0.03%,167.99999999995367,199.4630894308939
2018-11-22,30613,30852,30899,30555,9.81K,-0.73%,662.9999999999536,105.6529864179356
2018-11-23,30513,30551,30566,30427,4.66K,-0.33%,404.9999999999537,101.3928747493992
2018-11-26,30574,30472,30672,30470,7.68K,0.20%,11.999999999953673,304.6894650475879
2018-11-27,30423,30585,30648,30389,7.86K,-0.49%,396.9999999999537,97.28977590575596
2018-11-28,30457,30400,30593,30270,8.40K,0.11%,440.9999999999537,381.9954079947129
2018-11-29,30253,30399,30399,30210,6.69K,-0.67%,463.9999999999537,43.269016881826246
2018-11-30,30186,30233,30320,30155,7.63K,-0.22%,130.99999999995367,118.16962361134209
2018-12-03,30787,30322,30850,30257,1.60K,1.99%,661.9999999999536,1068.3873483821917
2018-12-04,30964,30874,31085,30874,0.08K,0.57%,-31.000000000046327,301.6150806503865
2018-12-05,30926,30830,30970,30825,0.04K,-0.12%,71.99999999995367,241.47510137875
2018-12-06,31005,31039,31196,30974,10.55K,0.26%,34.99999999995367,188.22218634984156
2018-12-07,31440,31011,31480,30941,11.24K,1.40%,668.9999999999536,976.6927054717053
2018-12-10,31895,31459,31966,31420,14.09K,1.45%,520.9999999999536,990.2542966263536
2018-12-11,31812,31850,31850,31618,10.53K,-0.26%,851.9999999999536,195.4234929470549
2018-12-12,31626,31749,31749,31582,7.57K,-0.58%,421.9999999999537,44.232664175797254
2018-12-13,31414,31550,31600,31337,8.43K,-0.67%,529.9999999999536,127.64623288764051
2018-12-14,31437,31440,31514,31384,6.75K,0.07%,143.99999999995367,127.21953861840302
2018-12-17,31501,31369,31530,31291,5.97K,0.20%,414.9999999999537,372.60397558403196
2018-12-18,31075,31589,31650,31041,10.18K,-1.35%,1102.9999999999536,95.66705325214936
2018-12-19,31139,31167,31500,30967,8.76K,0.21%,410.9999999999537,507.96044176058416
2018-12-20,31219,31027,31250,30914,12.97K,0.26%,612.9999999999536,531.3150029113021
2018-12-21,31126,31115,31292,31075,9.91K,-0.30%,4.999999999953673,228.35613837490018
2018-12-24,31375,31300,31395,31177,8.57K,0.80%,546.9999999999536,294.3844821503044
2018-12-26,31463,31430,31643,31400,10.03K,0.28%,-27.000000000046327,276.4875477706992
2018-12-27,31611,31499,31647,31426,8.01K,0.47%,367.9999999999537,334.3009928085012
2018-12-28,31506,31576,31629,31462,6.64K,-0.33%,262.9999999999537,97.23355158603954
2018-12-31,31489,31452,31583,31284,6.60K,-0.05%,614.9999999999536,337.9593082725986
2019-01-01,31560,31550,31651,31410,0.68K,0.23%,478.9999999999537,252.1509073543457
2019-01-02,31934,31530,32500,31510,0.40K,1.19%,-82.00000000004633,1407.321485242777
2019-01-03,31939,32000,32045,31836,0.17K,0.02%,488.9999999999537,148.67618419399514
2019-01-04,31679,32686,32686,31460,0.06K,-0.81%,2889.9999999999536,227.53445645263855
2019-01-07,31652,31536,31748,31456,12.80K,-0.09%,339.9999999999537,409.8194303153614
2019-01-08,31736,31616,31758,31572,10.84K,0.27%,273.9999999999537,306.9661725579645
2019-01-09,31993,31685,32016,31639,14.63K,0.81%,468.9999999999537,689.2181484876272
2019-01-10,31878,32090,32119,31855,13.33K,-0.36%,486.9999999999537,52.19061371841235
2019-01-11,31924,31907,32065,31888,10.56K,0.14%,-48.00000000004633,194.19982438534862
2019-01-14,32130,32050,32194,31963,13.65K,0.65%,363.9999999999537,312.2069267590668
2019-01-15,32169,32066,32273,32064,12.59K,0.12%,6.999999999953673,312.68441242515115
2019-01-16,32272,32148,32299,32103,11.36K,0.32%,276.9999999999537,321.0318038812584
2019-01-17,32253,32300,32363,32190,12.92K,-0.06%,282.9999999999537,126.3385834109977
2019-01-18,32089,32295,32305,32052,12.63K,-0.51%,549.9999999999536,47.29205665793053
2019-01-21,32039,32052,32184,31985,8.90K,-0.16%,109.99999999995367,186.335969985932
2019-01-22,32154,32030,32189,31949,12.04K,0.36%,412.9999999999537,365.53995430217043
2019-01-23,32135,32105,32199,32060,10.91K,-0.06%,145.99999999995367,169.32517155333701
2019-01-24,32016,32100,32147,31986,9.55K,-0.37%,240.99999999995367,77.15100356406037
2019-01-25,32339,32057,32367,32019,13.03K,1.01%,405.9999999999537,633.4779349761084
2019-01-28,32536,32383,32570,32383,10.90K,0.61%,118.99999999995367,340.8835191304097
2019-01-29,32891,32570,32967,32530,13.05K,1.09%,404.9999999999682,762.8495849984613
2019-01-30,32903,32900,32975,32807,9.82K,0.04%,302.9999999999682,171.49160240192575
2019-01-31,33100,32937,33245,32903,10.39K,0.60%,153.99999999996822,507.04765522900567
2019-02-01,33405,33119,33500,32997,3.12K,0.92%,678.9999999999682,795.2194744976805
2019-02-04,33455,34247,34400,33285,0.42K,0.15%,2110.999999999968,328.6947573982252
2019-02-05,33381,33549,33549,33250,0.13K,-0.22%,859.9999999999682,132.17801503759256
2019-02-06,33222,33199,33378,33175,7.27K,-0.48%,-37.000000000031775,226.28759608138355
2019-02-07,33056,33169,33200,32951,10.60K,-0.50%,614.9999999999682,136.79345088161062
2019-02-08,33125,33000,33142,32910,9.43K,0.21%,467.9999999999682,358.51564873898315
2019-02-11,32931,33060,33082,32811,11.15K,-0.59%,715.9999999999682,142.99113102313274
2019-02-12,32747,32915,32945,32721,9.36K,-0.56%,409.9999999999682,56.17798967024282
2019-02-13,32909,32727,33028,32680,10.85K,0.49%,250.99999999996822,532.4385556915513
2019-02-14,32970,32862,33000,32765,11.45K,0.19%,465.9999999999682,344.47031893789244
2019-02-15,33263,32992,33280,32992,11.79K,0.89%,253.99999999996822,561.3656644034927
2019-02-18,33463,33333,33484,33333,8.88K,0.60%,108.99999999996822,281.58890588906064
2019-02-19,33753,33499,33797,33434,11.91K,0.87%,469.9999999999682,620.4634503798516
2019-02-20,33719,33800,33877,33680,9.09K,-0.10%,240.99999999996822,116.22811757720044
2019-02-21,33302,33630,33658,33265,14.50K,-1.24%,775.9999999999682,65.43712610852526
2019-02-22,33369,33302,33413,33190,9.55K,0.20%,470.9999999999682,291.20268153057987
2019-02-25,33159,33385,33398,33130,8.44K,-0.63%,554.9999999999682,42.23459100512992
2019-02-26,33228,33225,33450,33205,9.01K,0.21%,-139.00000000003178,248.16970335792573
2019-02-27,33171,33300,33466,33138,9.40K,-0.17%,223.99999999996822,199.3266340756818
2019-02-28,32902,33189,33260,32877,8.13K,-0.81%,602.9999999999682,96.29123703500956
2019-03-01,32533,32857,32953,31915,1.56K,-1.12%,3023.999999999968,734.0997650007847
2019-03-04,32505,32394,32601,32315,0.15K,-0.09%,330.9999999999537,398.68157202537276
2019-03-05,32015,33435,33440,32000,0.24K,-1.51%,2894.999999999968,20.67500000000291
2019-03-06,31954,32136,32300,31885,16.71K,-0.19%,475.9999999999537,233.89807119335086
2019-03-07,31946,31959,31980,31800,14.75K,-0.03%,588.9999999999536,167.8264150943396
2019-03-08,32174,31980,32235,31955,16.62K,0.71%,232.99999999995367,475.9189485213573
2019-03-11,31915,32214,32214,31897,12.41K,-0.80%,669.9999999999536,18.17888829670483
2019-03-12,32015,31906,32056,31885,12.06K,0.31%,151.99999999995367,280.6971930374784
2019-03-13,32225,32088,32330,32088,13.82K,0.66%,31.999999999953673,380.0332211418609
2019-03-14,31832,32274,32274,31813,17.21K,-1.22%,959.9999999999536,19.275327696224853
2019-03-15,31853,31895,31960,31768,13.20K,0.07%,358.9999999999537,150.51372450264537
2019-03-18,31685,31800,31815,31590,12.27K,-0.53%,594.9999999999536,110.67663817663923
2019-03-19,31985,31750,32017,31691,14.67K,0.95%,438.9999999999537,564.0243286737567
2019-03-20,31740,31961,31961,31704,14.38K,-0.77%,585.9999999999536,36.29182437547206
2019-03-21,31842,31899,32064,31806,9.41K,0.32%,92.99999999995367,201.2920203735157
2019-03-22,32155,31869,32184,31748,19.21K,0.98%,740.9999999999536,727.5893914577283
2019-03-25,32223,32199,32245,32083,14.02K,0.21%,465.9999999999537,186.70691643549443
2019-03-26,32113,32200,32200,32031,13.04K,-0.34%,501.9999999999537,82.43264337672736
2019-03-27,32019,32101,32182,32000,17.72K,-0.29%,158.99999999995367,100.1080624999995
2019-03-28,31624,31993,32030,31591,15.06K,-1.23%,832.9999999999536,70.45857997530766
2019-03-29,31703,31600,31788,31510,11.36K,0.25%,377.9999999999537,382.7027610282457
2019-04-01,31570,31588,31730,31542,4.52K,-0.42%,5.999999999953673,170.16688859298662
2019-04-02,31535,31550,31590,31359,0.39K,-0.11%,693.9999999999536,217.2964699129443
2019-04-03,31450,31499,31607,31318,0.17K,-0.27%,517.9999999999536,241.2180854460676
2019-04-04,31503,31499,31549,31350,0.07K,0.17%,553.9999999999536,203.9711961722496
2019-04-05,31566,31535,31620,31400,0.06K,0.20%,516.9999999999536,252.1630573248404
2019-04-08,32076,31795,32155,31795,12.90K,1.62%,201.99999999995367,644.1816323321291
2019-04-09,32098,32131,32171,32020,11.01K,0.07%,337.9999999999537,118.36783260462109
2019-04-10,32174,32070,32197,31968,11.74K,0.24%,488.9999999999537,334.47566316316437
2019-04-11,31663,32148,32148,31638,17.11K,-1.59%,1069.9999999999536,25.40299639673685
2019-04-12,31760,31721,31871,31705,11.01K,0.31%,-8.000000000046327,205.2879671976043
2019-04-15,31760,31710,31791,31570,8.54K,0.00%,578.9999999999536,272.33006018371816
2019-04-16,31474,31700,31768,31453,14.48K,-0.90%,467.9999999999537,89.21031380154457
2019-04-17,31410,31500,31525,31393,5.65K,-0.20%,222.99999999995367,42.07148090338524
2019-04-18,31403,31474,31544,31355,9.87K,-0.02%,263.9999999999537,118.28933184500055
2019-04-22,31531,31497,31697,31497,9.89K,0.41%,-132.00000000004633,234.21589357716584
2019-04-23,31525,31490,31566,31401,9.92K,-0.02%,349.9999999999537,200.65157160599847
2019-04-24,31759,31480,31799,31450,12.64K,0.74%,358.9999999999537,631.4289666136721
2019-04-25,31843,31750,31926,31641,11.64K,0.26%,445.9999999999537,379.81947473215035
2019-04-26,31868,31851,31934,31705,9.67K,0.08%,534.9999999999536,247.1773221889307
2019-04-30,31625,31800,31824,31597,6.44K,-0.76%,437.9999999999537,52.201158337815286
2019-05-01,31563,31604,31657,31503,1.55K,-0.20%,268.9999999999537,113.29330539948569
2019-05-02,31203,31420,31425,31160,0.48K,-1.14%,600.9999999999536,48.36569319640694
2019-05-03,31341,31250,31500,31163,0.08K,0.44%,279.9999999999537,429.9249109520897
